Olympics,Rights_Fees,Type
Sydney 2000,705,Summer
Salt Lake City 2002,545,Winter
Athens 2004,793.5,Summer
Torino 2006,613.4,Winter
Beijing 2008,893,Summer
Vancouver 2010,820,Winter
London 2012,1181,Summer
Sochi 2014,775,Winter
 Rio de Janeiro 2016,1224,Summer
