Olympics ,Viewers,Type
Sydney 2000,21.5,Summer
Salt Lake City 2002,31.9,Winter
Athens 2004,24.9,Summer
Torino 2006,20.2,Winter
Beijing 2008,27.2,Summer
Vancouver 2010,24.4,Winter
London 2012,30.3,Summer
Sochi 2014,21.4,Winter
 Rio de Janeiro 2016,27.5,Summer
